CMDLINE python stereo3d_with_matrix.py --matrix_path D:\stereo3d_data\demo\Drosophila_melanogaster_demo\00.gem --tissue_mask D:\stereo3d_data\demo\Drosophila_melanogaster_demo\00.mask --record_sheet D:\stereo3d_data\demo\Drosophila_melanogaster_demo\E-ST20220923002_slice_records_E14_16.xlsx --output D:\stereo3d_data\demo\Drosophila_melanogaster_demo\result_speed_test
MEM 410.070312 1764644231.7746
MEM 410.070312 1764644231.8840
MEM 410.070312 1764644231.9947
MEM 411.175781 1764644232.1023
MEM 411.175781 1764644232.2103
MEM 411.175781 1764644232.3193
MEM 411.175781 1764644232.4263
MEM 411.175781 1764644232.5353
MEM 415.101562 1764644232.6456
MEM 396.082031 1764644232.7526
MEM 402.910156 1764644232.8618
MEM 401.242188 1764644232.9720
MEM 402.839844 1764644233.0828
MEM 403.371094 1764644233.1914
MEM 400.972656 1764644233.2999
MEM 401.839844 1764644233.4089
MEM 401.839844 1764644233.5179
MEM 401.839844 1764644233.6259
MEM 401.839844 1764644233.7359
MEM 401.898438 1764644233.8449
MEM 404.667969 1764644233.9539
MEM 413.343750 1764644234.0624
MEM 413.027344 1764644234.1730
MEM 410.574219 1764644234.2812
MEM 410.574219 1764644234.3907
MEM 412.359375 1764644234.4995
MEM 412.359375 1764644234.6075
MEM 412.359375 1764644234.7165
MEM 412.359375 1764644234.8250
MEM 412.359375 1764644234.9340
MEM 416.031250 1764644235.0432
MEM 418.589844 1764644235.1523
MEM 423.820312 1764644235.2623
MEM 426.031250 1764644235.3714
MEM 425.707031 1764644235.4827
MEM 425.304688 1764644235.5928
MEM 425.351562 1764644235.7018
MEM 425.351562 1764644235.8108
MEM 425.351562 1764644235.9188
MEM 425.351562 1764644236.0278
MEM 425.351562 1764644236.1368
MEM 428.070312 1764644236.2448
MEM 430.730469 1764644236.3548
MEM 441.230469 1764644236.4638
MEM 437.820312 1764644236.5728
MEM 441.230469 1764644236.6828
MEM 441.230469 1764644236.7914
MEM 437.820312 1764644236.9007
MEM 437.820312 1764644237.0097
MEM 440.378906 1764644237.1192
MEM 438.972656 1764644237.2282
MEM 438.972656 1764644237.3402
MEM 438.972656 1764644237.4482
MEM 438.972656 1764644237.5572
MEM 438.972656 1764644237.6667
MEM 438.972656 1764644237.7757
MEM 438.972656 1764644237.8849
MEM 438.972656 1764644237.9934
MEM 438.972656 1764644238.1024
MEM 438.972656 1764644238.2126
MEM 438.972656 1764644238.3206
MEM 439.117188 1764644238.4297
MEM 441.976562 1764644238.5377
MEM 442.730469 1764644238.6476
MEM 443.906250 1764644238.7566
MEM 444.421875 1764644238.8677
MEM 450.929688 1764644238.9777
